Domain name,Company name,Twitter,Facebook,lighthouse_metrics,contact_details,Domain_valid,Twitter_valid,Facebook_valid,twitter_details,security_score,response_time
chateau-giscours.fr,Château Giscours,unknown,unknown,"{'mobile': {'performance': 0.59, 'accessibility': 0.81, 'best-practices': 1, 'seo': 0.92}, 'desktop': {'performance': 0.57, 'accessibility': 0.81, 'best-practices': 1, 'seo': 0.92}}","{'emails': set(), 'phones': set()}",True,True,True,{},20,1.286136
raimo.fr,Raimo Glacier,unknown,raimoglacier,"{'mobile': {'performance': 0.61, 'accessibility': 0.91, 'best-practices': 1, 'seo': 1}, 'desktop': {'performance': 0.69, 'accessibility': 0.91, 'best-practices': 1, 'seo': 1}}","{'emails': {'eboutique@raimo.fr'}, 'phones': {'0143437017', '33143437017'}}",True,True,True,{},0,0.193517
champagne-voirin-jumel.com,Champagne Voirin Jumel,unknown,unknown,"{'mobile': {'performance': 0.39, 'accessibility': 0.88, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.38, 'accessibility': 0.88, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': {'informationstom@champagnevj.comContact', 'bergementvoirinp@wanadoo.fr', 'info@champagnevj.com', 'exportjulie@champagnevj.comH'}, 'phones': {'+33(0)326575582', '+33(0)642065391', '+33(0)6420653', '+33(0)3265755', '0326575582'}}",True,True,True,{},25,0.396721
chateaudepoisses.com,Château d'Époisses,unknown,chateaudepoisses,"{'mobile': {'performance': 0.32, 'accessibility': 0.95, 'best-practices': 0.96, 'seo': 0.85}, 'desktop': {'performance': 0.41, 'accessibility': 0.95, 'best-practices': 0.96, 'seo': 0.85}}","{'emails': {'visites@chateaudepoisses.com'}, 'phones': set()}",True,True,True,{},30,0.298162
parenchere.com,Château de Parenchère,unknown,chateaudeparenchere,"{'mobile': {'performance': 0.35, 'accessibility': 0.6, 'best-practices': 0.96, 'seo': 0.75}, 'desktop': {'performance': 0.37, 'accessibility': 0.6, 'best-practices': 0.96, 'seo': 0.75}}","{'emails': {'info@parenchere.com'}, 'phones': {'33(0)557460417', '33(0)5574604'}}",True,True,True,{},15,3.133368
pessac-leognan.com,Pessac-Léognan,unknown,lesvinsdepessacleognan,"{'mobile': {'performance': 0.25, 'accessibility': 0.79, 'best-practices': 0.93, 'seo': 0.92}, 'desktop': {'performance': 0.26, 'accessibility': 0.79, 'best-practices': 0.93, 'seo': 0.92}}","{'emails': set(), 'phones': {'05.56.00.21', '05.56.00.21.91', '05.56.00.21.90'}}",True,True,True,{},30,2.669209
newtree.com,Newtree,newtreechocolat,newtree,"{'mobile': {'performance': 0.67, 'accessibility': 0.83, 'best-practices': 0.96, 'seo': 1}, 'desktop': {'performance': 0.69, 'accessibility': 0.83, 'best-practices': 0.96, 'seo': 1}}","{'emails': {'info@newtree.be'}, 'phones': set()}",True,True,True,"{'tweets': 763, 'following': 452, 'followers': 686, 'likes': 66, 'media': 0}",20,0.388833
julietteavril.com,Juliette Avril,unknown,domainejulietteavril,"{'mobile': {'performance': 0.42, 'accessibility': 0.87, 'best-practices': 0.79, 'seo': 0.92}, 'desktop': {'performance': 0.46, 'accessibility': 0.87, 'best-practices': 0.79, 'seo': 1}}","{'emails': {'info@julietteavril.com', 'info@julietteavril.comStephan'}, 'phones': {'+33(0)490837269', '+33(0)608353666', '+33(0)6083536', '+33(0)637589821', '+33(0)607997422'}}",True,True,True,{},0,2.23673
cafegraffiti.net,Cafegraffiti,unknown,cafegraffitimtl,"{'mobile': {'performance': 0.51, 'accessibility': 0.89, 'best-practices': 0.93, 'seo': 0.85}, 'desktop': {'performance': 0.55, 'accessibility': 0.89, 'best-practices': 0.93, 'seo': 0.85}}","{'emails': {'cafegraffiti@cafegraffiti.net'}, 'phones': {'100%100%100%', '(514)256-9000', '100%100%100'}}",True,True,True,{},5,3.14433
edwoodcafe.fr,Ed Wood Café,unknown,edwoodcafe,"{'mobile': {'performance': 0.55, 'accessibility': 0.86, 'best-practices': 0.96, 'seo': 0.92}, 'desktop': {'performance': 0.51, 'accessibility': 0.86, 'best-practices': 0.96, 'seo': 0.92}}","{'emails': set(), 'phones': {'05571251191', '0557125119'}}",True,True,True,{},25,2.489123
foudici.com,FOU D'ICI,foudici,foudici,"{'mobile': {'performance': 0.55, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 0.92}, 'desktop': {'performance': 0.67, 'accessibility': 0.86, 'best-practices': 0.75, 'seo': 0.92}}","{'emails': {'info@foudici.com', 'info@foudici.comWe'}, 'phones': set()}",True,True,True,"{'tweets': 1691, 'following': 915, 'followers': 1658, 'likes': 138, 'media': 0}",0,0.339692
rhumeriedechamarel.com,Chamarel Rum Distillery,unknown,unknown,"{'mobile': {'performance': 0.46, 'accessibility': 0.84, 'best-practices': 0.79, 'seo': 0.92}, 'desktop': {'performance': 0.39, 'accessibility': 0.84, 'best-practices': 0.79, 'seo': 0.92}}","{'emails': set(), 'phones': {'+2304834980', '+2304834487', '+23059884180'}}",True,True,True,{},20,0.242867
chocomotive.ca,ChocoMotive,unknown,unknown,"{'mobile': {'performance': 0.28, 'accessibility': 0.66, 'best-practices': 0.82, 'seo': 0.85}, 'desktop': {'performance': 0.32, 'accessibility': 0.66, 'best-practices': 0.79, 'seo': 0.85}}","{'emails': set(), 'phones': {'100.00.$85.00', '0819423-5737'}}",True,True,True,{},0,2.765712
