,Domain name,Company name,Twitter,Facebook,Domain_valid,Twitter_valid,Facebook_valid,response_time,error_type
0,chateau-giscours.fr,château giscours,unknown,unknown,TRUE,TRUE,TRUE,0.854263,
1,raimo.fr,raimo glacier,unknown,raimoglacier,TRUE,TRUE,TRUE,0.382277,
2,champagne-voirin-jumel.com,champagne voirin jumel,unknown,unknown,TRUE,TRUE,TRUE,0.178866,
3,chateaudepoisses.com,château d'époisses,unknown,chateaudepoisses,TRUE,TRUE,TRUE,-1,410
4,parenchere.com,château de parenchère,unknown,chateaudeparenchere,TRUE,TRUE,TRUE,2.913599,
5,pessac-leognan.com,pessac-léognan,unknown,lesvinsdepessacleognan,TRUE,TRUE,TRUE,2.318018,
6,newtree.com,newtree,newtreechocolat,newtree,TRUE,TRUE,TRUE,0.464116,
7,julietteavril.com,juliette avril,unknown,domainejulietteavril,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
8,cafegraffiti.net,cafegraffiti,unknown,cafegraffitimtl,TRUE,TRUE,TRUE,2.990537,
9,edwoodcafe.fr,ed wood café,unknown,edwoodcafe,TRUE,TRUE,TRUE,1.093003,
10,foudici.com,fou d'ici,foudici,foudici,TRUE,TRUE,TRUE,0.186973,
11,rhumeriedechamarel.com,chamarel rum distillery,unknown,unknown,TRUE,TRUE,TRUE,0.203146,
12,chocomotive.ca,chocomotive,unknown,unknown,TRUE,TRUE,TRUE,2.743153,
13,comteroger.com,comte roger carcassonne,unknown,comterogercarcassonne,TRUE,TRUE,TRUE,1.049394,
14,beresford.fr,beresford,beresfordfrance,beresfordfrance,TRUE,TRUE,TRUE,2.956324,
15,diamantblanc.fr,diamant blanc,unknown,diamantblancmarseille,TRUE,TRUE,TRUE,0.452396,
16,lacigale.com,la cigale,unknown,lacigale.nantes,TRUE,TRUE,TRUE,-1,403
17,restaurantletournant.com,restaurant le tournant,unknown,restaurant-le-tournant-103027653186850,TRUE,TRUE,FALSE,0.204127,
18,16cafe.com,16 cafe,unknown,unknown,TRUE,TRUE,TRUE,0.387619,
